CUSTOMER_ID,CUSTOMER_NAME,CITY,REGION,SEGMENT,Total_expenditure,total_orders,Repeating_customers,Total_Profit,Profits,Avg_Spending_on_each_Order,Prefered_category,prefered_sub_category,buying_only_discounted,SHIP_MODE,ShipMode_Count,Most_brought_products,quantity_of_products
AA-10315,Alex Avila,Minneapolis,Central,Consumer,103710.72000000003,8,Repeated,,-10064.699999999995,12963.840000000004,Office Supplies,Appliances,not always,Standard Class,160,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",20
AA-10375,Allen Armold,Mesa,West,Consumer,20619.87999999997,16,Repeated,5380.509000000001,5380.509000000001,1288.742499999998,Office Supplies,Paper,not always,Standard Class,140,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),20
AA-10480,Andrew Allen,Concord,South,Consumer,35535.63999999997,7,Repeated,8617.691999999994,8617.691999999994,5076.519999999996,Office Supplies,Paper,not always,Standard Class,220,Xerox 1993,20
AA-10645,Anna Andreadi,Chester,East,Consumer,87395.4,10,Repeated,,16379.64899999999,8739.539999999999,Furniture,Furnishings,not always,Standard Class,190,Xerox 1996,20
AB-10015,Aaron Bergman,Seattle,West,Consumer,14500.959999999986,4,Repeated,,2462.144999999999,3625.2399999999966,Furniture,Bookcases,not always,First Class,70,"Sauder Facets Collection Library, Sky Alder Finish",20
AB-10060,Adam Bellavance,New York City,East,Home Office,155112.40000000008,16,Repeated,,41091.76999999999,9694.525000000005,Office Supplies,Paper,not always,Standard Class,200,Xerox 1881,40
AB-10105,Adrian Barton,Phoenix,West,Consumer,278394.82,19,Repeated,,103910.90200000007,14652.35894736842,Office Supplies,Binders,not always,Standard Class,320,Tenex Chairmats For Use with Hard Floors,20
AB-10150,Aimee Bixby,Long Beach,East,Consumer,12278.580000000004,9,Repeated,,3661.2930000000015,1364.286666666667,Office Supplies,Paper,not always,Second Class,150,Xerox 1994,20
AB-10165,Alan Barnes,Los Angeles,West,Consumer,21903.79999999998,15,Repeated,,4426.916000000004,1460.253333333332,Office Supplies,Art,not always,Standard Class,190,Zipper Ring Binder Pockets,20
AB-10255,Alejandro Ballentine,Lorain,East,Home Office,18093.84,17,Repeated,,5226.405999999999,1064.3435294117646,Office Supplies,Paper,not always,Standard Class,230,Xerox 215,20
AB-10600,Ann Blume,Tucson,West,Corporate,30172.439999999984,7,Repeated,,-5260.287999999994,4310.348571428569,Office Supplies,Binders,not always,First Class,120,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,20
AC-10420,Alyssa Crouse,San Francisco,West,Corporate,11455.359999999995,5,Repeated,,-1096.0520000000001,2291.071999999999,Office Supplies,Binders,always,Standard Class,40,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",20
AC-10450,Amy Cox,Minneapolis,Central,Consumer,103133.55999999997,13,Repeated,,26485.067999999996,7933.350769230767,Office Supplies,Binders,not always,Standard Class,80,Storex Dura Pro Binders,20
AC-10615,Ann Chong,New York City,East,Corporate,50753.72000000009,10,Repeated,,5976.545999999989,5075.3720000000085,Furniture,Furnishings,not always,Standard Class,340,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,20
AC-10660,Anna Chung,Huntsville,Central,Consumer,11232.919999999993,9,Repeated,,-524.3039999999996,1248.1022222222214,Technology,Phones,not always,Standard Class,40,i.Sound Portable Power - 8000 mAh,20
AD-10180,Alan Dominguez,Houston,Central,Home Office,116073.22000000007,14,Repeated,,37464.53699999999,8290.944285714291,Office Supplies,Paper,not always,Standard Class,180,Xerox 214,20
AF-10870,Art Ferguson,College Station,Central,Consumer,41058.159999999945,14,Repeated,,6359.423999999985,2932.72571428571,Office Supplies,Binders,not always,Standard Class,320,Xerox 194,20
AF-10885,Art Foster,Louisville,South,Consumer,12869.21,6,Repeated,,-676.8010000000003,2144.8683333333333,Furniture,Chairs,not always,Second Class,60,Staple remover,20
AG-10270,Alejandro Grove,West Jordan,West,Consumer,50103.16000000009,8,Repeated,14474.913999999982,14474.913999999982,6262.895000000011,Office Supplies,Storage,not always,Standard Class,200,Things To Do Today Pad,20
AG-10300,Aleksandra Gannaway,Los Angeles,West,Corporate,4865.279999999998,7,Repeated,898.3380000000008,898.3380000000008,695.0399999999997,Furniture,Bookcases,not always,Standard Class,60,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",20
AG-10330,Alex Grayson,Stockton,West,Consumer,13219.439999999997,10,Repeated,,-102.74199999999982,1321.9439999999997,Office Supplies,Paper,not always,Second Class,100,Xerox 225,20
AG-10390,Allen Goldenen,Cincinnati,East,Consumer,2581.6000000000013,8,Repeated,,705.8340000000003,322.70000000000016,Office Supplies,Binders,not always,First Class,60,Southworth 25% Cotton Granite Paper & Envelopes,20
AG-10495,Andrew Gjertsen,Philadelphia,East,Corporate,47137.09999999996,16,Repeated,,5913.335999999989,2946.0687499999976,Office Supplies,Paper,not always,Standard Class,320,Xerox 2,20
AG-10525,Andy Gerbode,Saint Petersburg,South,Corporate,21564.299999999992,6,Repeated,,-2119.9330000000004,3594.049999999999,Office Supplies,Binders,not always,Standard Class,150,"SlimView Poly Binder, 3/8""",20
AG-10675,Anna Gayman,Houston,Central,Consumer,69780.792,14,Repeated,,-4928.513999999994,4984.342285714286,Office Supplies,Paper,not always,Second Class,140,Xerox 198,20
AG-10765,Anthony Garverick,Philadelphia,East,Home Office,3352.759999999999,7,Repeated,,-127.37600000000006,478.9657142857141,Office Supplies,Binders,not always,Standard Class,70,Vinyl Sectional Post Binders,20
AG-10900,Arthur Gainer,Tucson,West,Consumer,75012.17999999992,19,Repeated,,5429.040000000004,3948.009473684206,Furniture,Bookcases,not always,Standard Class,220,Steel Personal Filing/Posting Tote,20
AH-10030,Aaron Hawkins,Philadelphia,East,Corporate,28411.140000000014,10,Repeated,5421.481999999999,5421.481999999999,2841.1140000000014,Furniture,Furnishings,not always,Standard Class,80,Geemarc AmpliPOWER60,20
AH-10075,Adam Hart,New York City,East,Corporate,64954.54000000001,19,Repeated,,5599.767999999994,3418.6600000000003,Office Supplies,Paper,not always,First Class,180,Xerox 214,20
AH-10120,Adrian Hane,Tucson,West,Home Office,32118.919999999995,13,Repeated,,212.84399999999926,2470.6861538461535,Office Supplies,Paper,not always,First Class,180,Xerox 1942,20
AH-10195,Alan Haines,Tamarac,South,Corporate,31749.039999999935,8,Repeated,,-7571.01800000001,3968.629999999992,Office Supplies,Binders,always,Second Class,100,"Situations Contoured Folding Chairs, 4/Set",20
AH-10210,Alan Hwang,Brentwood,West,Consumer,90043.67999999996,17,Repeated,25299.192,25299.192,5296.687058823527,Office Supplies,Binders,not always,Standard Class,160,"Trav-L-File Heavy-Duty Shuttle II, Black",20
AH-10465,Amy Hunt,New York City,East,Consumer,49907.832000000024,10,Repeated,,-3922.4020000000005,4990.783200000003,Furniture,Bookcases,not always,Standard Class,80,X-Rack File for Hanging Folders,20
AH-10585,Angele Hood,Chicago,Central,Consumer,10291.279999999997,7,Repeated,1263.3399999999992,1263.3399999999992,1470.1828571428566,Furniture,Chairs,not always,Standard Class,40,Xerox 1921,20
AH-10690,Anna Häberlin,New York City,East,Corporate,155989.07999999973,23,Repeated,,25498.364000000023,6782.133913043466,Office Supplies,Binders,not always,Standard Class,390,Wilson Jones Leather-Like Binders with DublLock Round Rings,20
AI-10855,Arianne Irving,Philadelphia,East,Consumer,64611.14000000006,17,Repeated,,14472.170999999993,3800.6552941176506,Office Supplies,Paper,not always,Second Class,160,Xerox 223,20
AJ-10780,Anthony Jacobs,Springfield,South,Corporate,56750.039999999986,11,Repeated,,3583.7930000000006,5159.0945454545445,Office Supplies,Art,not always,First Class,120,"Wirebound Message Book, 4 per Page",20
AJ-10795,Anthony Johnson,Saint Petersburg,South,Corporate,73262.71999999991,12,Repeated,18141.47200000001,18141.47200000001,6105.226666666659,Furniture,Furnishings,not always,Standard Class,200,Xerox 221,20
AJ-10945,Ashley Jarboe,Wilmington,South,Consumer,36590.23999999998,13,Repeated,10388.656000000006,10388.656000000006,2814.633846153845,Office Supplies,Appliances,not always,Standard Class,120,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",20
AJ-10960,Astrea Jones,Rochester,East,Consumer,6398.88,4,Repeated,631.9289999999999,631.9289999999999,1599.72,Office Supplies,Art,not always,Standard Class,40,Economy #2 Pencils,20
AM-10360,Alice McCarthy,Grand Prairie,Central,Corporate,16126.63999999997,9,Repeated,,3822.9559999999988,1791.8488888888855,Office Supplies,Paper,not always,Same Day,100,"Wirebound Message Book, 4 per Page",20
AM-10705,Anne McFarland,Auburn,South,Consumer,92115.38000000016,15,Repeated,,16993.807999999957,6141.025333333344,Office Supplies,Binders,not always,Standard Class,280,Wilson Jones Impact Binders,20
AO-10810,Anthony O'Donnell,Los Angeles,West,Corporate,3225.6000000000013,2,Repeated,241.92000000000004,241.92000000000004,1612.8000000000006,Furniture,Tables,always,First Class,20,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",20
AP-10720,Anne Pryor,New York City,East,Home Office,31160.379999999965,15,Repeated,,5169.316999999998,2077.3586666666642,Office Supplies,Binders,not always,Standard Class,290,Xerox 1977,20
AP-10915,Arthur Prichep,Palm Coast,South,Consumer,50994.57999999992,16,Repeated,,7380.296000000007,3187.161249999995,Office Supplies,Art,not always,Standard Class,310,Xerox 1988,30
AR-10345,Alex Russell,Lawrence,East,Corporate,13356.600000000002,7,Repeated,,-1996.6920000000007,1908.0857142857146,Furniture,Chairs,not always,Second Class,40,Memorex Froggy Flash Drive 8 GB,20
AR-10405,Allen Rosenblatt,Franklin,East,Corporate,42064.71999999998,9,Repeated,,-2148.7960000000007,4673.8577777777755,Technology,Accessories,not always,Standard Class,80,Xerox 1943,20
AR-10510,Andrew Roberts,Philadelphia,East,Consumer,4239.540000000003,8,Repeated,,957.4079999999999,529.9425000000003,Office Supplies,Binders,not always,Standard Class,90,Xerox 226,20
AR-10540,Andy Reiter,New York City,East,Consumer,131639.36000000013,11,Repeated,57491.16800000006,57491.16800000006,11967.214545454557,Office Supplies,Binders,not always,Second Class,110,Xerox 1970,20
AR-10570,Anemone Ratner,Columbus,South,Consumer,1763.0000000000007,2,Repeated,652.6599999999995,652.6599999999995,881.5000000000003,Furniture,Furnishings,not always,Standard Class,40,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",20
AR-10825,Anthony Rawles,Vancouver,West,Corporate,90142.72,15,Repeated,,9793.024000000007,6009.514666666667,Furniture,Chairs,not always,Second Class,130,Xerox 1997,20
AS-10045,Aaron Smayling,Jacksonville,South,Corporate,60356.04000000005,13,Repeated,,-5393.814000000002,4642.772307692312,Office Supplies,Binders,not always,First Class,120,Xerox 1998,20
AS-10090,Adam Shillingsburg,Charlottesville,South,Consumer,58026.580000000075,16,Repeated,,-4.773999999999872,3626.6612500000047,Office Supplies,Binders,not always,Standard Class,280,Binder Posts,40
AS-10135,Adrian Shami,New York City,East,Home Office,1176.3999999999994,4,Repeated,436.992,436.992,294.09999999999985,Furniture,Furnishings,not always,First Class,40,Xerox 1898,20
AS-10225,Alan Schoenberger,New York City,East,Corporate,63047.68000000002,9,Repeated,,9948.599999999993,7005.2977777777805,Office Supplies,Binders,not always,Second Class,210,WD My Passport Ultra 1TB Portable External Hard Drive,20
AS-10240,Alan Shonely,Tampa,South,Consumer,7907.940000000016,12,Repeated,,300.9000000000002,658.9950000000014,Office Supplies,Appliances,not always,Standard Class,120,"Stacking Tray, Side-Loading, Legal, Smoke",20
AS-10285,Alejandro Savely,San Francisco,West,Corporate,64284.71999999998,12,Repeated,,7092.55199999999,5357.059999999999,Office Supplies,Binders,not always,Standard Class,80,"Tenex ""The Solids"" Textured Chair Mats",20
AS-10630,Ann Steele,Pasadena,Central,Home Office,13917.560000000027,12,Repeated,,2010.331999999998,1159.796666666669,Office Supplies,Labels,not always,Standard Class,220,Avery 499,40
